post_text,label
"So, when you ask what the two illnesses are...they're similar in that they tend to have moodiness involved, impulsivity and self-damaging behaviors for compensatory measures. Otherwise, they're not really that similar, but they do seem to ""like"" one another and often show up in the same person...making their lives chaotic, difficult, dysfunctional, and intense. 

So, if your friend is concerned that they may have one (or both) of these illnesses, they should not be ashamed. It's definitely not their fault. They should, instead, get help from a professional...and INSIST that they are treated appropriately with the correct types of therapy and medication.",1
"In addition, people with BPD quite often have a weak self concept. They don't always know who they really are deep down inside. They may always feel like there's something missing or something wrong with them intrinsically. This can cause periods of dissociation and difficulty in maintaining a healthy sense of self esteem. They may have a weak value system (or one that is missing entirely) or find that they have a difficult time adhering to whatever value system they do have. Since there's a real issue with trusting and black/white thinking, they don't always trust in their own decisions and may do things to get people to ""like"" them or not leave them that would be against their value system normally, and think that they (themselves) are terrible/bad/evil people for doing it later. They often take their mistakes in life much more seriously than other people. A ""normal"" person may make the same mistake and feel bad about it, but it's unlikely that they will see themselves as terrible/bad/evil for having made the mistake. Oftentimes, a person with BPD would make that mistake and internalize it as a personal failure...that it happened because they (themselves) are awful/bad/wrong. This means that their self concept is much more fluid than ""normal"" people. 

Now, please keep in mind that not all BPD sufferers have every single one of these symptoms. There are definitely other symptoms that can be included in the diagnosis, but this is a pretty good start and the most common symptoms sufferers may face. People with BPD need intense therapy because they must change how they see themselves and the world around them (having a more mature, realistic viewpoint of the world that isn't all black or all white), rebuild value systems and self concepts that may be missing/aberrant, build the ability to trust others/self, and learn coping mechanisms. DBT (Dialectic Behavioral Therapy) was developed for BPD sufferers initially and has shown some positive results for sufferers who adhere to the techniques in their lives. 

Here's the thing, too. It's fairly common for Bipolar and BPD to be comorbid in a person (meaning they have both at the same time). We don't necessarily know if there's a genetic link between them, but we are beginning to think that's possible. A person suffering from both at the same time (untreated) would tend to be extremely emotional, moody, hypersensitive to criticism, untrusting, self-damaging, with highs and lows in behavior that make their lives (and the lives of those who love them) quite difficult. They are chaotic because their brain isn't working correctly due to chemical imbalances and, at the same time, their perception of themselves, other people and the world is one based on distrust and fear of being abandoned or rejected. They tend to have problems with love relationships, friendships, family relationships, and relationships with coworkers. Quite often, they end up being in the hospital for suicidal ideations or for mania (more often for depression than mania). It's not uncommon for them to end up in the system for some time before they get a proper and correct diagnosis (and a good treatment plan). They may get kicked out of the system early with a misdiagnosis which leads to poor management of symptoms and relapsing.",1
"Borderline Personality Disorder, like all other personality disorders, is an abnormal way of perceiving and interacting with the world. Think of it as having a dirty filter that the sufferer sees the world through constantly. We do not believe it is caused by chemical imbalances in the brain, but it's possible that some of the symptoms might because medication *can* help some sufferers (but doesn't help everyone). Because they perceive things incorrectly, they often react inappropriately to situations that occur. People with BPD typically (not always as there is some room for deviation) have problems with emotional regulation and may react incorrectly to unexpected situations that occur. They may be perceived by others as being moody and reactive. They often have problems with trusting other people. It's believed this occurs because of unhealthy childhood experiences with parents, caregivers, teachers, and peers. However, there may also be a genetic propensity for people to have BPD as well. Regardless, they tend to have short-lived, intense relationships with lovers where they cling one minute and push away the next. They often have issues with infidelity due to a fear that they will be abandoned. There's a real fear of abandonment and rejection. They tend to have black and white thinking (things are all wrong or all good) and that means they often either idealize or villainize their lovers, depending on their mood. This leaves the lover often feelling like they don't really know what's going on or where they stand in the relationship. One minute, the lover is being adored and the next, they are being pushed away. If there's infidelity or other types of self-damaging, risky behavior occurring, the lover may eventually get fed up. Because of this behavior and their intense lack of trust, quite often...the sufferer does cause their lover to leave them. This, of course, reinforces their belief that they will always be abandoned, left, and/or alone...and the cycle of clinging/pushing away starts again with a new person usually quite soon afterward. It should be noted...This black and white thinking tends to color their perception and behavior in regards to themselves, their self esteem, their self concept, and the world around them. Quite often, they are hypersensitive to criticism (or even perceived criticism). This goes back to that deep seeded fear of being rejected or abandoned. More than likely, they lived in a household situation with a parent or caregiver who would...one minute seemingly dote on the child and the next, without obvious reason...push the child away. Inconsistent, inattentive, cold, neglectful or absentee parenting seems to be a big part of the reason a person with BPD MAY have had it develop. Since we learn to trust from the first people in our lives (usually, our parents)....if a parent proves to be untrustworthy, absent, cold, or inconsistent with affection/punishment...a child may learn that they can't trust anyone. Deep down, people with BPD don't always trust themselves, either. 

Because they tend to have very black and white thinking, they don't always handle situations very well. This ""just world"" concept where they seem to think that ""good things happen to good people and bad things happen to bad people"" can cause them to see themselves as bad/evil/wrong if something bad happens to them, even things they can't control. 

In addition, they often have feelings of intense anger if things don't go as they expected, especially if it deals with other people. Their expectations of other people are usually unrealistic (because their expectations of themselves and the world are unrealistic generally.) They may get physically violent or abusive when things don't go the way they expected. During a period of devaluation of their love partner, they may become violent or abusive (note: this doesn't happen with every BPD sufferer, but it is a common enough occurrence that it should be said). 

They have intense changes in feelings and react quickly to situations without always thinking things through. They can be self-damaging and impulsive. This is where people get it confused with Bipolar disease because Bipolar tends to cause highs and lows and emotional reactivity during those periods. People with BPD have this issue all the time, however...not just when they are experiencing a disease relapse from one extreme or the other.",1
"LONG ANSWER: Bipolar disease is caused by a chemical imbalance in the brain. It can be treated with medication and therapy. Typically people with bipolar disease have learned to compensate for it in unhealthy ways (illegal drug use, eating disorders, gambling, promiscuity, alcoholism, self harm, etc.) and therapy can assist them with overcoming these unhealthy ""coping mechanisms."" In addition, they may need therapy that assists with rebuilding family relationships that the sufferer (while in a relapse state) has damaged. Bipolar disease often causes lability of emotional response and potentially self-damaging behaviors that come from that. They tend to have periods of mania/hypomania and depression that is severe. During mania, they may feel like they have more energy, be happier (without reason), have grandiose ideas of themself and their abilities, need less sleep, be much more sexual, and engage in risky behaviors without considering the consequences. During depression, they may be suicidal, incapable of caring for themself, engage in self-harm, have a hard time leaving their house/bed, and miss a lot of work. Depending on what ""type"" of Bipolar a person has (Or where they fall on the spectrum) determines quite often how serious their periods of mania/hypomania are and how long those occur...and how serious their depressive episodes are and how long those occur. Regardless, it's a difficult situation they live with constantly. Medication, typically, works to counterbalance the chemical imbalance in their brain (or offset the symptoms) so that they can function somewhat normally without huge highs and lows.",1
"Well think of bipolar as a rollar coaster you have high and low peaks where your mood can either rapidly alternate up and down or have the longwr lasting shifts. Ups that last for days ect. Depression and anger are two of the most common. Now as for borderline personality , its more like a tilt a wirl. Your moods can go secerap directions and rapidly , impulsivness is a major part of it as well. Not making sound judgement and just doing. Not to mention reations to situations that are commonly deemed inappropriate. I myself suffer from both. And it took me along time to become stable. And somedays i still struggle with it.",1
"Believe me, I show you much more than anyone. I still have lots of work to do but I trust you completely. I hope you feel the same.  You can share anything with me Li, no worries.",1
"Yes, I feel the exact same way. My family avoids me all ways/always now. I have no place in my family and no voice either. I now choose not to give them any info if at all possible. All they do now is hurt me and leave me out of all family functions and matters because I am not strong enough. This is the time you find  your true family and friends. Facebook has helped me tremendously. I will not validate their behavior because it is so stereotypical. They choose to remain ignorant.",1
"I was hospitalized in May for the same reason. I've dealt with the loneliness that comes with it. Unless you know someone who has struggled with it, it's really hard for others to relate. Problem is, it adds to the emotional mudslide that plagues us. I completely understand where you are coming from.",1
"I feel like that and im hearing you loud okay just a while ago, only an hour or so, I wás feeling like there was nothing in this world who will ever understand my feelings. I caught it and held onto it and felt that if I didn't live it wouldn't matter. I felt so hopeless that nobody understands and to understand is to love and if I didn't have love what would I do? Die? I'm too frightened every time I try. So its not working death won't work its not our time. So what did I love? I love the world and  I want to be a part of its healing. It doesn't matter if people understand its enough that I do and the very few who know and love me understand, the rest don't matter. They are the sad ones cos they don't allow their minds to open and to accept that they maybe the ones harming us",1
"I had 9 rounds over 3.5 weeks two years ago. It saved my life. I have some trouble recalling words I need when I'm anxious, but other than that I have no negative effects. Without ECT I wouldn't be able to be at university now as bipolar had effected my cognitive ability badly - ECT reversed that. I will definitely go back for more if I go downhill again. 

Research shows that ECT has an 80% success rate; that is, 80% of patients show significant improvement. 

Ultimately it is your decision. Don't be pushed one way or another. Only you can decide.",1
"No, but I have seriously thought about having it. I don't know, maybe desperation. Have discussed it with the psychiatrist off and on...do not know",1
"Yes I do and it's terrifying, know matter how I try to explain, they see from clear glass, mine is cloudy!",1
"Michelle O'Sullivan Yes, I just started it in July.  We are moving very slowly and it takes a lot of getting used to.  She was the one who suggested I ask my brother to check in on me once in a while but I went about it all the wrong ways and got too emotional.  Then when he told me that he wouldn't tell me what he wanted to say to her I got uncomfortable like I was going to be thrown under the bus and then he got angry and just bit my head off.",1
He just upped my anti-depressant last week.  They aren't upping my lithium because the salt makes me constantly thirsty and I am a heart patient and have a fluid restriction.  I've tried every other drug and they're either bad for my heart or they have horrible side effects.  The therapy I'm learning is supposed to help with BPD but they said it will be really hard and take a lot of time to change my behavior.,1
"Yes, I've been seeing psychiatrists for nearly 30 years.  First just depression, then cyclothymia, then bipolar and anxiety, then BPD.",1
My mom is one person who sets me off when I'm agitated.  I can't take being around her.  And even when I tell her I'm agitated and we should talk another time she'll push until I snap and then make me feel guilty about it.,1
"A family session can be helpful,  you need to be ready for that though. Having a family session may allow for them to gain an improved understanding. Of your symptoms and moods.  This may also allow for you tho better understand what they are having difficulty with I  relating to you,  not as one weigh mi rather as the family you are. You are working already ight sounds like on insight sand awareness,  keep at it, try not tho be discouraged by the actions of other.  Ultimately we are responsible for our own happiness... I struggle to with relationships so I appreciate what you are dealing with.  Good luck.",1
"Yes iam like this at times but they seem to wind us up too ,its not all what we say , but I am careful at times how I speak or I dont speak at all thats easier lol , try and think before we speak ,but I know when we get stressed its hard and all sorts come tumbling out , stay strong",1
My brother sent me one: Do not disturb. I'm disturbed enough already.,1
"When I told a former employer about my bipolar, I felt like he was always nervous that I might fly into a rage at anytime. I'm not even the angry kind of bipolar; I'm really just the sad kind. But since that job, I've learned to keep it to myself. I've said that I've had a bad cold, if I was too depressed to work...",1
"The only problem I have is when I'm randomly  put on a grave yard shift. That means I can't take my meds, as they make me so tired. I have 2 kids and cant just catch up on my sleep, and end up with anxiety and not being able to sleep, from not taking my meds. Being able to have a stable and normal shift all week makes my week 100x better than it would have if all shifts were different and there were random graves.",1
"My job is just crazy. You basically do 5 jobs in one and we put people's lives on the line so we have to be 100% on our game. It's just really hard for my brain to bounce from position to position in the same day. I feel like I can't keep up and then I get anxious and start talking crap and saying things I don't really mean, I'm just saying them to try to calm down.",1
"At least you people are on meds I am WITHOUT it's a struggle everyday for me, not wanting to live cz I get into these crazy ass episodes and it's hard to control but it's easy for people that don't have this issue to tell me to fking snap out of it  ",1
"I'm a  *itch 24/7 and I am not on medication because I have no fking medical insurance for my bipolar, depression and anxiety so I have too deal with it myself and people around me, I can't stand who I am but I feel stuck like you, and hopeless",1
No i am the same way. Sometimes i cant afford to get my meds refilled and i go off the deep end. I feel so bad and my body feels so horable. It is not your fault so dont worry. Just do the best you can.,1
"No , you are not the only one that suffers from the withdrawals of these damn pills . I too become a totally different person . Call this complicated , hard to deal with , very easily annoyed that is created by these big  pharmaceutical companies and their man made so called medication. When my friends see the slightest bit of my alter ego coming out is when along with the change of myself is when my name changes as well .. I then become Evilalina ... funny yet sad ..!! Dealing with the aftermath of Evilalina sometimes puts me into a deeper depressing state of mind. I am NOT this irritate person I transform into. Which one one the main reason why I choose to medicate myself by medical marijuana . I have also knocked out 3 of my daily pills . Since Evilalina rarely makes her presence known.",1
I'm awful at remembering to take mine. I miss one day and I'm a mess. I miss two and I am completely unable to function. Anxiety induced rage is so awful..,1
"I'm going through this now. I bitch myself out and tons of negative self talk because I can't shake the guilt. I'm a miserable person to be around, even skipping one or two days. I'd like to think that meds aren't helping, since I still struggle plenty on them, but it's when I miss a dose or two that I realize they're a life saver. I wouldn't function very long in a med free state of mind. As it is, I try to limit my interactions as much as possible, so as to limit the stimuli that I will dwell on and beat myself up over. I know your struggle all too well.",1
"No, not alone I too have felt the guilt of my non-medicated self... I have to stay on meds no skipping.",1
"No, you are NOT alone.  If my meds are not properly regulated, I have blinding rage outbursts.. I am cranky & bitchy... Everything gets on my nerves... I yell like a banshee... It is horrible.... You have to stay on top of the meds.",1
"I def think it's way too much but you have to know your own body. And by the fact yiur asking, you must think so. I would talk to my dr and if he won't adjust to your wants, then get another. We are here to live lofe, not be tied and chained to meds and dr's! I understand about the sleeping, when I got off my meds 2 years ago, that was my fear. But....I researched and tried other thibgs and I now sleep 5-7 hrs a night w nothing! It's a daily task, but I fewl
So much better without all those meds, their side effects, and staying stressed having to remember to take them throughout the day. Now life is enjoyable. I'm not just going thru the motions. Good luck ❤️",1
